2015-09-17 10:14:06,196 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Completed resolution of types of umbraco.interfaces.ITree, found 35 (took 8ms)
2015-09-17 10:14:38,459 [10] INFO  umbraco.BusinessLogic.Log - [P5132/T1/D2] Log scrubbed.  Removed all items older than 2015-07-19 10:14:38
2015-09-17 10:14:44,274 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Starting resolution types of umbraco.interfaces.ICacheRefresher
2015-09-17 10:14:44,293 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Completed resolution of types of umbraco.interfaces.ICacheRefresher, found 20 (took 19ms)
2015-09-17 10:14:46,583 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
2015-09-17 10:14:46,583 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 44 (took 0ms)
2015-09-17 10:16:53,504 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
2015-09-17 10:16:53,518 [10] INFO  Umbraco.Core.PluginManager - [P5132/T1/D2] Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 2 (took 13ms)
2015-09-17 10:29:51,893 [10] INFO  Umbraco.Core.CoreBootManager - [P4956/T1/D2] Umbraco 7.2.8 application starting on DEBBIEMCKAY-PC
2015-09-17 10:29:52,288 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Determining hash of code files on disk
2015-09-17 10:29:52,321 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Hash determined (took 32ms)
2015-09-17 10:29:52,347 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-09-17 10:29:52,424 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 38 (took 76ms)
2015-09-17 10:29:52,762 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-09-17 10:29:52,763 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
2015-09-17 10:29:52,764 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-09-17 10:29:52,765 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 1ms)
2015-09-17 10:29:52,827 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-09-17 10:29:52,829 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 8 (took 1ms)
2015-09-17 10:29:52,829 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-09-17 10:29:52,833 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 36 (took 3ms)
2015-09-17 10:29:53,137 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-09-17 10:29:53,138 [10] INFO  Umbraco.Core.PluginManager - [P4956/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
